number,mass,density,density_caveat,covalent_radius,covalent_radius_uncertainty,crystal_structure
1,1.00794,0.0708,-252.87,0.31,0.05,0.74
2,4.002602,0.122,-268.93,0.28,0.0,None
3,6.941,0.534,None,1.28,0.07,None
4,9.012182,1.848,None,0.96,0.03,None
5,10.811,2.34,None,0.84,0.03,None
6,12.0107,2.2,None,0.76,0.01,None
7,14.0067,0.808,-195.79,0.71,0.01,1.1
8,15.9994,1.14,-182.95,0.66,0.02,1.21
9,18.9984032,1.5,-188.12,0.57,0.03,1.42
10,20.1797,1.207,-246.08,0.58,0.0,None
11,22.98977,0.971,None,1.66,0.09,None
12,24.305,1.738,None,1.41,0.07,None
13,26.981538,2.6989,None,1.21,0.04,None
14,28.0855,2.33,25,1.11,0.02,None
15,30.973761,1.82,None,1.07,0.03,None
16,32.065,2.07,None,1.05,0.03,None
17,35.453,1.56,-33.6,1.02,0.04,None
18,39.948,1.4,-185.85,1.06,0.1,None
19,39.0983,0.862,None,2.03,0.12,None
20,40.078,1.55,None,1.76,0.1,None
21,44.95591,2.989,25,1.7,0.07,None
22,47.867,4.54,None,1.6,0.08,None
23,50.9415,6.11,18.7,1.53,0.08,None
24,51.9961,7.19,None,1.39,0.05,None
25,54.938049,7.33,None,1.39,0.05,None
26,55.845,7.874,None,1.32,0.03,None
27,58.9332,8.9,None,1.26,0.03,None
28,58.6934,8.902,25,1.24,0.04,None
29,63.546,8.96,None,1.32,0.04,None
30,65.409,7.133,25,1.22,0.04,None
31,69.723,5.904,29.6,1.22,0.03,None
32,72.64,5.323,25,1.2,0.04,None
33,74.9216,5.73,None,1.19,0.04,None
34,78.96,4.79,None,1.2,0.04,None
35,79.904,3.12,None,1.2,0.03,None
36,83.798,2.16,-153.22,1.16,0.04,None
37,85.4678,1.532,None,2.2,0.09,None
38,87.62,2.54,None,1.95,0.1,None
39,88.90585,4.469,25,1.9,0.07,None
40,91.224,6.506,None,1.75,0.07,None
41,92.90638,8.57,None,1.64,0.06,None
42,95.94,10.22,None,1.54,0.05,None
43,98,11.5,None,1.47,0.07,None
44,101.07,12.41,None,1.46,0.07,None
45,102.9055,12.41,None,1.42,0.07,None
46,106.42,12.02,None,1.39,0.06,None
47,107.8682,10.5,None,1.45,0.05,None
48,112.411,8.65,None,1.44,0.09,None
49,114.818,7.31,None,1.42,0.05,None
50,118.71,7.31,None,1.39,0.04,None
51,121.76,6.691,None,1.39,0.05,None
52,127.6,6.24,None,1.38,0.04,None
53,126.90447,4.93,None,1.39,0.03,None
54,131.293,3.52,-108.12,1.4,0.09,None
55,132.90545,1.873,None,2.44,0.11,None
56,137.327,3.5,None,2.15,0.11,None
57,138.9055,6.145,25,2.07,0.08,None
58,140.116,6.77,25,2.04,0.09,None
59,140.90765,6.773,None,2.03,0.07,None
60,144.24,7.008,25,2.01,0.06,None
61,145,7.264,25,1.99,0.0,None
62,150.36,7.52,25,1.98,0.08,None
63,151.964,5.244,25,1.98,0.06,None
64,157.25,7.901,25,1.96,0.06,None
65,158.92534,8.23,None,1.94,0.05,None
66,162.5,8.551,25,1.92,0.07,None
67,164.93032,8.795,25,1.92,0.07,None
68,167.259,9.066,25,1.89,0.06,None
69,168.93421,9.321,25,1.9,0.1,None
70,173.04,6.966,None,1.87,0.08,None
71,174.967,9.841,25,1.87,0.08,None
72,178.49,13.31,None,1.75,0.1,None
73,180.9479,16.654,None,1.7,0.08,None
74,183.84,19.3,None,1.62,0.07,None
75,186.207,21.02,None,1.51,0.07,None
76,190.23,22.57,None,1.44,0.04,None
77,192.217,22.42,17,1.41,0.06,None
78,195.078,21.45,None,1.36,0.05,None
79,196.96655,19.3,None,1.36,0.06,None
80,200.59,13.546,None,1.32,0.05,None
81,204.3833,11.85,None,1.45,0.07,None
82,207.2,11.35,None,1.46,0.05,None
83,208.98038,9.747,None,1.48,0.04,None
84,209,9.32,None,1.4,0.04,None
85,210,None,None,1.5,0.0,None
86,222,None,None,1.5,0.0,None
87,223,None,None,2.6,0.0,None
88,226,None,None,2.21,0.02,None
89,227,None,None,2.15,0.0,None
90,232.0381,11.72,None,2.06,0.06,None
91,231.03588,15.37,None,2.0,0.0,None
92,238.02891,18.95,None,1.96,0.07,None
93,237,20.25,None,1.9,0.01,None
94,244,19.84,25,1.87,0.01,None
95,243,13.67,None,1.8,0.06,None
96,247,13.51,None,1.69,0.03,None
97,247,14,None,None,None,None
98,251,None,None,None,None,None
99,252,None,None,None,None,None
100,257,None,None,None,None,None
101,258,None,None,None,None,None
102,259,None,None,None,None,None
103,262,None,None,None,None,None
104,261,None,None,None,None,None
105,262,None,None,None,None,None
106,266,None,None,None,None,None
107,264,None,None,None,None,None
108,277,None,None,None,None,None
109,268,None,None,None,None,None
110,281,None,None,None,None,None
111,272,None,None,None,None,None
112,285,None,None,None,None,None
113,286,None,None,None,None,None
114,289,None,None,None,None,None
115,289,None,None,None,None,None
116,293,None,None,None,None,None
117,294,None,None,None,None,None
118,294,None,None,None,None,None
